month,lgcode,n
202101,11102,9570
202101,11103,87154
202101,11104,4591
202101,11105,48475
202101,11106,6039
202101,11107,12966
202101,11108,12403
202101,11109,10704
202101,11110,7234
202101,11201,59370
202101,11202,58734
202101,11203,40459
202101,11206,20876
202101,11207,130294
202101,11208,37886
202101,11209,57202
202101,11210,23545
202101,11211,21563
202101,11212,40240
202101,11214,38136
202101,11215,7255
202101,11216,7987
202101,11217,11328
202101,11218,87206
202101,11219,17887
202101,11221,7475
202101,11222,19095
202101,11223,4753
202101,11224,16245
202101,11225,11425
202101,11227,9802
202101,11228,1123
202101,11229,8131
202101,11230,3634
202101,11231,3247
202101,11232,32860
202101,11233,8863
202101,11234,3069
202101,11235,7964
202101,11237,9682
202101,11238,2585
202101,11239,4030
202101,11240,3013
202101,11241,5681
202101,11242,50457
202101,11243,4656
202101,11245,3865
202101,11246,21167
202101,11301,696
202101,11324,1430
202101,11326,11901
202101,11327,17400
202101,11341,26363
202101,11342,15491
202101,11343,24072
202101,11346,2637
202101,11347,15592
202101,11348,8498
202101,11349,22139
202101,11361,33576
202101,11362,31128
202101,11363,26919
202101,11365,14608
202101,11369,779
202101,11381,10342
202101,11383,24055
202101,11385,8180
202101,11408,5769
202101,11442,476
202101,11464,23311
202101,11465,1965
202101,12101,44749
202101,12102,8607
202101,12103,15619
202101,12104,13936
202101,12105,30782
202101,12106,74137
202101,12202,11921
202101,12203,50258
202101,12204,19383
202101,12205,38087
202101,12206,72708
202101,12207,17692
202101,12208,47282
202101,12210,19558
202101,12211,287989
202101,12212,22171
202101,12213,40594
202101,12215,28341
202101,12216,11215
202101,12217,29646
202101,12218,13081
202101,12219,190667
202101,12220,10681
202101,12221,16000
202101,12222,10877
202101,12223,62180
202101,12224,3213
202101,12225,67473
202101,12226,65142
202101,12227,477224
202101,12228,1585
202101,12229,65921
202101,12230,3028
202101,12231,18056
202101,12232,4313
202101,12233,4127
202101,12234,114236
202101,12235,6082
202101,12236,153467
202101,12237,29302
202101,12238,20467
202101,12239,6505
202101,12322,678
202101,12329,3546
202101,12342,45330
202101,12347,25413
202101,12349,5282
202101,12403,5369
202101,12409,35831
202101,12410,5013
202101,12421,11846
202101,12422,40035
202101,12423,4064
202101,12424,6192
202101,12426,20358
202101,12427,36758
202101,12441,48250
202101,12443,14590
202101,12463,48677
202101,13101,806515
202101,13102,287332
202101,13103,575473
202101,13104,322380
202101,13105,270665
202101,13106,265688
202101,13107,243708
202101,13108,229611
202101,13109,205396
202101,13110,82807
202101,13111,204396
202101,13112,108308
202101,13113,343896
202101,13114,50902
202101,13115,35328
202101,13116,297004
202101,13117,37273
202101,13118,27664
202101,13119,27127
202101,13120,34047
202101,13121,46349
202101,13122,37364
202101,13123,50801
202101,13201,68747
202101,13202,22444
202101,13203,9442
202101,13204,17284
202101,13205,21578
202101,13206,45658
202101,13207,5708
202101,13208,32480
202101,13209,29176
202101,13210,2461
202101,13211,12235
202101,13212,13895
202101,13213,2097
202101,13214,3477
202101,13215,6031
202101,13218,1154
202101,13219,5319
202101,13220,7351
202101,13221,1744
202101,13222,11896
202101,13223,3246
202101,13224,25785
202101,13225,26083
202101,13227,1514
202101,13228,11630
202101,13229,11334
202101,13303,551
202101,13305,4704
202101,13307,6276
202101,13308,4406
202101,13361,987
202101,13364,201
202101,13401,735
202101,13402,42
202101,13421,344
202101,14101,18612
202101,14102,15875
202101,14103,100690
202101,14104,183549
202101,14105,6948
202101,14106,11976
202101,14107,16857
202101,14108,30257
202101,14109,34608
202101,14110,10919
202101,14111,8910
202101,14112,16797
202101,14113,3408
202101,14114,2225
202101,14115,4917
202101,14116,2591
202101,14117,23768
202101,14118,12378
202101,14131,119134
202101,14132,62874
202101,14133,16727
202101,14134,5533
202101,14135,7940
202101,14136,4882
202101,14137,4437
202101,14151,80516
202101,14152,10178
202101,14153,13985
202101,14201,81061
202101,14203,30738
202101,14204,120424
202101,14205,89107
202101,14206,63175
202101,14207,20075
202101,14208,6878
202101,14210,18373
202101,14211,61887
202101,14212,37101
202101,14213,5635
202101,14214,42485
202101,14215,14708
202101,14216,4113
202101,14217,22545
202101,14218,4045
202101,14301,8095
202101,14321,29894
202101,14341,14269
202101,14342,12216
202101,14361,5337
202101,14362,1443
202101,14363,24242
202101,14364,18058
202101,14366,812
202101,14382,118768
202101,14383,2901
202101,14384,15976
202101,14401,20097
202101,14402,16691
202101,15101,27344
202101,15102,6379
202101,15103,96668
202101,15104,1343
202101,15105,9312
202101,15106,1754
202101,15107,17831
202101,15108,9033
202101,15202,64069
202101,15204,15464
202101,15205,6403
202101,15206,39467
202101,15208,11346
202101,15209,1315
202101,15210,37742
202101,15211,758
202101,15212,23915
202101,15213,11052
202101,15216,39834
202101,15217,129954
202101,15218,4001
202101,15222,41103
202101,15223,5293
202101,15224,4441
202101,15225,18013
202101,15226,84159
202101,15227,25239
202101,15307,10367
202101,15342,9262
202101,15361,3872
202101,15385,18919
202101,15405,214
202101,15461,192396
202101,15482,1658
202101,15504,1180
202101,15581,11909
202101,16201,83112
202101,16202,21716
202101,16204,31519
202101,16205,2251
202101,16206,2106
202101,16207,4676
202101,16208,7002
202101,16209,7509
202101,16210,31241
202101,16211,12090
202101,16321,52
202101,16322,2932
202101,16323,6642
202101,16342,600
202101,16343,2124
202101,17201,72389
202101,17202,29847
202101,17203,28957
202101,17204,6785
202101,17205,4441
202101,17206,17376
202101,17207,42016
202101,17209,18709
202101,17210,84961
202101,17211,7834
202101,17212,765
202101,17324,578
202101,17361,5494
202101,17365,2277
202101,17384,9475
202101,17386,6988
202101,17407,5006
202101,17461,3600
202101,17463,4835
202101,18201,29784
202101,18202,17577
202101,18204,14955
202101,18205,15932
202101,18206,59894
202101,18207,4509
202101,18208,4233
202101,18209,6701
202101,18210,22746
202101,18322,6095
202101,18382,222
202101,18404,8019
202101,18423,14562
202101,18442,3394
202101,18481,9272
202101,18483,11214
202101,18501,6923
202101,19201,56419
202101,19202,95434
202101,19204,26435
202101,19205,21967
202101,19206,9958
202101,19207,6271
202101,19208,7301
202101,19209,82851
202101,19210,7716
202101,19211,32396
202101,19212,20658
202101,19213,23961
202101,19214,6214
202101,19346,10325
202101,19364,1575
202101,19365,47699
202101,19366,15927
202101,19368,20579
202101,19384,2230
202101,19422,15072
202101,19423,430
202101,19424,4799
202101,19425,18906
202101,19429,38043
202101,19430,39509
202101,19442,8676
202101,19443,5387
202101,20201,136348
202101,20202,86456
202101,20203,85170
202101,20204,10587
202101,20205,7271
202101,20206,127794
202101,20207,2479
202101,20208,4341
202101,20209,17331
202101,20210,96852
202101,20211,9251
202101,20212,54724
202101,20213,39662
202101,20214,47071
202101,20215,7979
202101,20217,40774
202101,20218,66994
202101,20219,38438
202101,20220,32313
202101,20303,13795
202101,20304,12660
202101,20305,3202
202101,20306,2719
202101,20309,17868
202101,20321,43164
202101,20323,841
202101,20324,39962
202101,20349,4970
202101,20350,34104
202101,20361,14967
202101,20362,55684
202101,20363,2228
202101,20382,898
202101,20383,3834
202101,20384,10173
202101,20385,12167
202101,20386,29
202101,20388,326
202101,20402,789
202101,20403,911
202101,20404,8024
202101,20407,30588
202101,20409,20787
202101,20410,90
202101,20411,565
202101,20412,241
202101,20415,298
202101,20416,5656
202101,20417,206
202101,20422,285
202101,20423,454
202101,20425,29158
202101,20429,16188
202101,20430,17123
202101,20432,61831
202101,20446,353
202101,20448,1051
202101,20451,1625
202101,20452,491
202101,20481,1065
202101,20482,12042
202101,20485,169653
202101,20486,76940
202101,20521,2503
202101,20541,7951
202101,20543,5479
